old_name,new_name,bucket,action
complex_25,audio_001,audio,rename
complex_33,audio_002,audio,rename
complex_34,audio_003,audio,rename
complex_71,audio_004,audio,rename
complex_72,audio_005,audio,rename
complex_24,audio_006,audio,rename
complex_31,audio_007,audio,rename
complex_32,audio_008,audio,rename
complex_69,audio_009,audio,rename
complex_70,audio_010,audio,rename
bilingual_01,bilingual_001,bilingual,rename
bilingual_02,bilingual_002,bilingual,rename
bilingual_03,bilingual_003,bilingual,rename
bilingual_04,bilingual_004,bilingual,rename
bilingual_05,bilingual_005,bilingual,rename
bilingual_06,bilingual_006,bilingual,rename
bilingual_07,bilingual_007,bilingual,rename
bilingual_08,bilingual_008,bilingual,rename
complex_23,complex_001,complex,rename
complex_59,complex_002,complex,rename
complex_60,complex_003,complex,rename
complex_67,complex_004,complex,rename
complex_68,complex_005,complex,rename
complex_21,complex_006,complex,rename
complex_47,complex_007,complex,rename
complex_91,complex_008,complex,rename
complex_01,complex_009,complex,rename
complex_54,complex_010,complex,rename
complex_83,complex_011,complex,rename
complex_13,complex_012,complex,rename
complex_55,complex_013,complex,rename
complex_56,complex_014,complex,rename
complex_63,complex_015,complex,rename
complex_64,complex_016,complex,rename
complex_03,complex_017,complex,rename
complex_46,complex_018,complex,rename
complex_85,complex_019,complex,rename
complex_02,complex_020,complex,rename
complex_45,complex_021,complex,rename
complex_84,complex_022,complex,rename
cr_16,cr_001,cr,rename
cr_17,cr_002,cr,rename
cr_18,cr_003,cr,rename
cr_19,cr_004,cr,rename
cr_20,cr_005,cr,rename
cr_36,cr_006,cr,rename
cr_37,cr_007,cr,rename
cr_38,cr_008,cr,rename
cr_03,cr_009,cr,rename
cr_06,cr_010,cr,rename
cr_08,cr_011,cr,rename
cr_09,cr_012,cr,rename
cr_15,cr_013,cr,rename
cr_33,cr_014,cr,rename
cr_34,cr_015,cr,rename
cr_35,cr_016,cr,rename
cr_longstory_05,cr_017,cr,rename
cr_04,cr_018,cr,rename
cr_05,cr_019,cr,rename
cr_11,cr_020,cr,rename
cr_12,cr_021,cr,rename
cr_14,cr_022,cr,rename
cr_26,cr_023,cr,rename
cr_27,cr_024,cr,rename
cr_28,cr_025,cr,rename
cr_29,cr_026,cr,rename
cr_longstory_01,cr_027,cr,rename
cr_longstory_02,cr_028,cr,rename
cr_longstory_03,cr_029,cr,rename
cr_01,cr_030,cr,rename
cr_02,cr_031,cr,rename
cr_07,cr_032,cr,rename
cr_10,cr_033,cr,rename
cr_13,cr_034,cr,rename
cr_30,cr_035,cr,rename
cr_31,cr_036,cr,rename
cr_32,cr_037,cr,rename
cr_longstory_04,cr_038,cr,rename
complex_29,extend_001,extend,rename
complex_39,extend_002,extend,rename
complex_40,extend_003,extend,rename
complex_79,extend_004,extend,rename
complex_80,extend_005,extend,rename
complex_28,extend_006,extend,rename
complex_41,extend_007,extend,rename
complex_42,extend_008,extend,rename
complex_77,extend_009,extend,rename
complex_78,extend_010,extend,rename
extend_01,extend_011,extend,rename
extend_03,extend_012,extend,rename
extend_04,extend_013,extend,rename
extend_06,extend_014,extend,rename
extend_07,extend_015,extend,rename
extend_08,extend_016,extend,rename
extend_05,(DROPPED),extend,drop
extend_09,(DROPPED),extend,drop
complex_06,(DROPPED),highlight,drop
complex_20,(DROPPED),highlight,drop
complex_50,(DROPPED),highlight,drop
complex_51,(DROPPED),highlight,drop
complex_87,(DROPPED),highlight,drop
complex_90,(DROPPED),highlight,drop
complex_10,highlight_001,highlight,rename
complex_15,highlight_002,highlight,rename
complex_52,highlight_003,highlight,rename
complex_53,highlight_004,highlight,rename
complex_88,highlight_005,highlight,rename
complex_89,highlight_006,highlight,rename
complex_04,highlight_007,highlight,rename
complex_48,highlight_008,highlight,rename
complex_86,highlight_009,highlight,rename
complex_30,highlight_010,highlight,rename
complex_43,highlight_011,highlight,rename
complex_44,highlight_012,highlight,rename
complex_81,highlight_013,highlight,rename
complex_82,highlight_014,highlight,rename
complex_18,highlight_015,highlight,rename
complex_92,highlight_016,highlight,rename
highlight_01,highlight_017,highlight,rename
highlight_03,highlight_018,highlight,rename
highlight_04,highlight_019,highlight,rename
highlight_05,highlight_020,highlight,rename
highlight_06,highlight_021,highlight,rename
highlight_07,highlight_022,highlight,rename
intake_img_01,intake_img_001,intake_img,rename
intake_img_02,intake_img_002,intake_img,rename
intake_img_03,intake_img_003,intake_img,rename
intake_img_04,intake_img_004,intake_img,rename
intake_img_05,intake_img_005,intake_img,rename
