variant,v4500_chain,v4500_step,v4500_edit,balanced_chain,balanced_step,balanced_edit,delta_chain,delta_step,delta_edit
8B SFT no_rat,87.9,91.9,0.31,85.2,90.4,0.34,-2.7,-1.5,0.03
8B SFT rich,71.3,84.7,0.57,63.0,80.3,0.72,-8.3,-4.4,0.15
8B SFT templated,81.0,87.0,0.35,78.7,85.3,0.41,-2.3,-1.7,0.06
8B GRPO no_rat,93.5,95.2,0.14,88.7,92.4,0.23,-4.8,-2.8,0.09
8B GRPO rich,92.3,95.5,0.15,88.5,93.1,0.22,-3.8,-2.4,0.07
8B GRPO templated,92.7,95.6,0.11,91.0,94.4,0.15,-1.7,-1.2,0.04
4B SFT no_rat,85.8,92.2,0.21,80.3,89.5,0.3,-5.5,-2.7,0.09
4B SFT rich,73.4,87.3,0.45,66.9,83.4,0.63,-6.5,-3.9,0.18
4B SFT templated,79.5,88.4,0.37,75.1,85.8,0.46,-4.4,-2.6,0.09
4B GRPO no_rat,88.9,94.0,0.16,82.8,89.7,0.3,-6.1,-4.3,0.14
4B GRPO rich,86.6,92.8,0.25,78.9,88.8,0.38,-7.7,-4.0,0.13
4B GRPO templated,95.0,96.4,0.1,92.0,94.7,0.16,-3.0,-1.7,0.06
